Is Attacker,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
1,815.92,288.428,505442,735.0,49,1316210.0,103275.0,114752.0,84292.5,342550000,8.0625,99.875,686,313.0,313.243,313.301,293.58,2632410.0,206550.0,229504.0,168585.0,685099000,937.788,688336000
0,428.134,0.830488,598481,15.0,0,25593.8,2126.25,2296.88,1706.25,7856240,0.0,0.0,15,0.776426,1.02503,1.04553,0.830488,51187.5,4252.5,4593.75,3412.5,15712500,1126.85,15775900
1,830.537,320.66,549057,723.0,58,1289550.0,99326.2,111397.0,81528.8,365866000,6.0625,116.125,665,348.617,348.966,349.028,327.01,2579110.0,198652.0,222795.0,163058.0,731732000,1017.86,734895000
0,415.77,0.78698,467254,15.0,0,25593.8,2126.25,2296.88,1706.25,6133890,0.0,0.0,15,0.650265,0.994336,1.07234,0.78698,51187.5,4252.5,4593.75,3412.5,12267800,880.802,12331200
1,833.031,233.449,535320,721.0,48,1288250.0,100086.0,111762.0,81935.6,356142000,6.1875,95.0,673,253.414,253.693,253.735,237.726,2576510.0,200171.0,223524.0,163871.0,712285000,993.679,715449000
0,494.366,0.745328,358722,12.0,0,20109.4,1670.62,1804.69,1340.62,3700250,0.0,0.0,12,0.593446,0.914479,0.934888,0.745328,40218.8,3341.25,3609.38,2681.25,7400500,677.304,7450350
0,370.097,0.802776,610082,16.0,0,27421.9,2278.12,2460.94,1828.12,8580550,0.0,0.0,16,0.652792,0.991517,1.00107,0.802776,54843.8,4556.25,4921.88,3656.25,17161100,1148.6,17229100
1,804.362,317.055,519520,746.0,60,1334200.0,101301.0,114442.0,83518.1,357904000,6.1875,121.75,686,343.936,344.273,344.315,322.608,2668400.0,202601.0,228883.0,167036.0,715808000,965.201,719075000
0,693.898,0.752981,366198,9.0,0,14625.0,1215.0,1312.5,975.0,2747160,0.0,0.0,9,0.668537,0.895589,0.927563,0.752981,29250.0,2430.0,2625.0,1950.0,5494310,691.321,5530570
1,797.349,601.708,535380,753.0,97,1344090.0,97351.9,112682.0,81463.1,372544000,9.0,194.312,656,652.137,652.538,652.628,611.597,2688180.0,194704.0,225364.0,162926.0,745088000,995.159,748359000
